 "label" ,
 "Heidelberg" ,
 "Stuart Russell" ,
 "Diffbot" ,
 "Harper Collins" ,
 "Wikipedia" ,
 "API" ,
 "Oracle Spatial" ,
 "GeoNames" ,
 "ConceptNet" ,
 "Semantic Networks" ,
 "AI Winter" ,
 "Layer Cake" ,
 "Apple" ,
 "Alfred Lennon" ,
 "Berlin" ,
 "Sameer" ,
 "Microsoft" ,
 "The Glass Palace" ,
 "A11" ,
 "London" ,
 "Peter Norvig" ,
 "YAGO" ,
 "IRI" ,
 "Mona Lisa" ,
 "Neo4J" ,
 "Concordia" ,
 "Sir George Williams University" ,
 "Concordia University" ,
 "Concordia University" ,
 "CONCORDIA UNIVERSITY" ,
 "DBpedia" ,
 "DBpedia Spotlight" ,
 "DBPedia" ,
 "Winograd" ,
 "Terry Winograd" ,
 "French" ,
 "PHP" ,
 "A12" ,
 "IBM" ,
 "Rumelhart" ,
 "AI" ,
 "Intelligent Systems" ,
 "A Notes" ,
 "RDF" ,
 "Resource Description Framework (RDF)" ,
 "FOAF" ,
 "Discovery" ,
 "Liyang" ,
 "TBox" ,
 "Computer Science" ,
 "RDF/XML" ,
 "WordNet" ,
 "Léonard de Vinci" ,
 "Leonardo da Vinci" ,
 "SHRDLU" ,
 "Liverpool" ,
 "le titre" ,
 "Natural Language Processing (NLP)" ,
 "NLP" ,
 "natural language processing (NLP)" ,
 "Amazon" ,
 "Prentice Hall" ,
 "WWW" ,
 "English language" ,
 "English" ,
 "XOR" ,
 "RDF Schema" ,
 "RDF schema" ,
 "ttl" ,
 "Jena" ,
 "Canada" ,
 "RDF triple" ,
 "RDF Triple" ,
 "Github" ,
 "GitHub" ,
 "UIMA" ,
 "Recommender Systems" ,
 "Knowledge Worker" ,
 "Gene Ontology" ,
 "Microsoft Tay" ,
 "ML" ,
 "Machine Learning" ,
 "Amazon Alexa" ,
 "Alexa" ,
 "Deep Learning" ,
 "Microsoft Cortana" ,
 "Jeopardy!" ,
 "Stanford" ,
 "ELIZA" ,
 "Steve Jobs" ,
 "MIT" ,
 "LOD" ,
 "Dublin Core" ,
 "McGill" ,
 "McGill College" ,
 "McGill University" ,
 "McGill University" ,
 "KNN" ,
 "kNN" ,
 "Concor" ,
 "2D" ,
 "Learning Curve" ,
 "Naïve Bayes" ,
 "Naive Bayes Classification" ,
 "British" ,
 "Enron" ,
 "inference" ,
 "DL" ,
 "James Pustejovsky" ,
 "Guantanamo Bay" ,
 "Unsupervised" ,
 "Unsupervised learning" ,
 "Arthur" ,
 "NSF" ,
 "Pros & Cons" ,
 "Chapter 7" ,
 "CIA" ,
 "Time complexity" ,
 "Cambridge Analytica" ,
 "Alison" ,
 "Manhattan distance" ,
 "False Positive" ,
 "PDS" ,
 "Elasticsearch" ,
 "NuBus" ,
 "Moodle" ,
 "Newsgroup" ,
 "TF-IDF" ,
 "CAESAR" ,
 "Christopher" ,
 "Hamlet" ,
 "Cambridge University Press" ,
 "AP" ,
 "Alag" ,
 "BRUTUS" ,
 "Tempest" ,
 "John Berryman" ,
 "Boolean model" ,
 "IDF" ,
 "Anthony Julius" ,
 "CLEOPATRA" ,
 "GUMO" ,
 "Doug Turnbull" ,
 "Prabhakar Raghavan" ,
 "This week" ,
 "Lego" ,
 "EU" ,
 "The Next Web" ,
 "TED" ,
 "Congress" ,
 "thesauri" ,
 "ACM" ,
 "David Wood" ,
 "TBL" ,
 "The Artist" ,
 "Morgan" ,
 "loc" ,
 "LOC" ,
 "Unicode" ,
 "Christian" ,
 "Schema.org" ,
 "Nexus" ,
 "Uniform Resource Locator" ,
 "ISO" ,
 "Dewey Decimal" ,
 "Luke" ,
 "X5" ,
 "Data Publishing" ,
 "PE" ,
 "Amsterdam" ,
 "Milan" ,
 "RT" ,
 "Q5" ,
 "RDB" ,
 "BabelNet" ,
 "James" ,
 "OPE" ,
 "Eötvös Loránd University" ,
 "CSV" ,
 "Springer International Publishing" ,
 "IG" ,
 "MusicBrainz" ,
 "Tim Berners-Lee" ,
 "LOD Datasets" ,
 "Open Graph Protocol" ,
 "Paris Hilton" ,
 "API key" ,
 "Quebec" ,
 "NextProt" ,
 "Loyola College" ,
 "fuseki" ,
 "Fuseki" ,
 "Wordpress.com" ,
 "Mexico" ,
 "POST" ,
 "National Cancer Institute" ,
 "MAX" ,
 "Amazon AWS" ,
 "UniProt" ,
 "QL" ,
 "AVG" ,
 "N-Quads" ,
 "TriG" ,
 "Web Ontology Language (OWL)" ,
 "Paris" ,
 "META tags" ,
 "Mtl Blog" ,
 "OpenCalais" ,
 "JDK" ,
 "xf" ,
